segment_id,road_name,corridor,mean_elevation_m,elev_range_m,mean_slope_deg,max_slope_deg,terrain_roughness,mean_curvature,stream_proximity_pct,mean_disp_mm,max_disp_mm,mean_coherence,rock_class,AADT_2022,truck_pct,truck_AADT,std_disp_mm,low_coh_pct,rock_risk_score,geology_enc,landcover_enc,known_unstable,rf_prob,risk_score,risk_category
1036,I-75,I-75,341.4,114.3,6.94,16.68,23.14,0.0022,22.9,-5.57,-11.14,0.614,carbonate,31033,26.4,8192,1.67,38.6,2,0,2,0,0.17739994553446045,0.2661,Moderate
1037,I-75,I-75,335.4,114.3,6.59,16.68,22.34,-0.0115,30.1,-3.88,-7.76,0.665,carbonate,33403,20.0,6680,1.16,33.5,2,0,2,0,0.0035416666666666665,0.1779,Low
1038,I-75,I-75,328.4,87.5,6.38,13.55,20.43,-0.0269,29.0,-3.97,-7.94,0.604,carbonate,30375,20.9,6348,1.19,39.6,2,0,2,0,0.0029861111111111117,0.1718,Low
1039,I-75,I-75,328.6,88.4,5.61,13.22,18.69,-0.0066,25.3,-3.37,-6.74,0.659,carbonate,31547,22.2,7003,1.01,34.1,2,0,2,0,0.0,0.156,Low
1040,I-75,I-75,331.4,96.2,6.11,14.39,20.5,-0.0138,18.5,-4.29,-8.58,0.619,carbonate,34059,21.0,7152,1.29,38.1,2,0,2,0,0.0,0.1781,Low
1041,I-75,I-75,359.8,111.7,6.46,14.39,20.91,0.006,10.9,-6.8,-13.6,0.61,carbonate,35096,18.9,6633,2.04,39.0,2,0,2,0,0.12020833333333333,0.2565,Moderate
1042,I-75,I-75,374.6,88.0,6.31,11.91,18.13,0.031,10.5,-2.16,-4.32,0.677,carbonate,34470,22.1,7617,0.65,32.3,2,0,2,0,0.016666666666666666,0.1523,Low
1043,I-75,I-75,355.7,97.8,6.22,10.19,17.83,-0.0016,10.6,-4.75,-9.5,0.664,carbonate,34264,19.9,6818,1.42,33.6,2,0,2,0,0.0033333333333333335,0.1795,Low
1044,I-75,I-75,358.5,110.4,5.85,11.04,17.97,-0.0173,11.0,-2.47,-4.94,0.664,carbonate,34211,22.9,7834,0.74,33.6,2,0,2,0,0.0,0.1521,Low
1045,I-75,I-75,373.1,120.2,8.27,20.71,24.64,0.0176,11.0,-4.91,-9.82,0.645,carbonate,32669,20.2,6599,1.47,35.5,2,0,2,0,0.1805205415499533,0.2658,Moderate
1046,I-75,I-75,340.4,120.4,7.54,20.71,25.33,-0.0009,34.8,-6.3,-12.6,0.599,carbonate,34032,25.1,8542,1.89,40.1,2,0,2,0,0.3125003488248013,0.333,Moderate
1047,I-75,I-75,320.0,64.1,5.57,16.36,19.41,-0.0241,16.0,-3.73,-7.46,0.67,carbonate,34646,20.4,7067,1.12,33.0,2,0,2,0,0.0,0.159,Low
1048,I-75,I-75,320.3,57.7,4.03,14.42,13.09,-0.0032,15.2,-1.61,-3.22,0.659,carbonate,37147,21.4,7949,0.48,34.1,2,0,2,0,0.0,0.1201,Low
1049,I-75,I-75,311.9,43.0,1.57,6.56,5.47,-0.0017,56.2,-0.55,-1.1,0.726,carbonate,36301,23.6,8567,0.16,27.4,2,0,2,0,0.0,0.0786,Low
1050,I-75,I-75,313.1,53.8,2.23,15.92,8.36,-0.0089,50.0,-2.45,-4.9,0.693,carbonate,33366,19.5,6506,0.74,30.7,2,0,2,0,0.0,0.1072,Low
1051,I-75,I-75,349.2,134.7,6.72,19.81,21.52,-0.0114,10.6,-4.09,-8.18,0.613,carbonate,36722,22.5,8262,1.23,38.7,2,0,2,0,0.05973018244247906,0.2117,Low
