segment_id,cluster,risk_category_unsup,risk_score_unsup,pca1,pca2
102,0,Moderate,0.5881,1.2897983340406263,1.983474836372297
103,0,Moderate,0.6,1.4113040736127196,2.0101018742664882
104,0,Moderate,0.5882,1.4529284554548154,1.9726464339225829
105,0,Moderate,0.605,1.4715495667305611,2.387196964512193
106,0,Moderate,0.6376,0.6224830997760856,2.773134496457743
107,0,Moderate,0.6392,0.6726905933550649,2.561879720784082
108,0,Moderate,0.6207,1.3959798138601271,2.3485279141985895
109,0,Moderate,0.5966,1.584978146761616,1.9498110968200921
110,0,Moderate,0.5575,2.0213022526571165,0.9566425637615967
111,0,Moderate,0.534,2.3450062410558066,0.6693940181310923
112,0,Moderate,0.5741,2.0731362238525013,1.3036059060242193
113,0,Moderate,0.6405,0.846680037701357,2.798704865523664
114,0,Moderate,0.7141,-0.5944403607092981,4.160992178402439
115,0,Moderate,0.703,-1.0118396716841374,4.455638149703426
116,0,Moderate,0.6571,0.2595173554377334,3.3913685159559575
117,0,Moderate,0.6067,1.6560272041079644,2.197448375914962
118,0,Moderate,0.6042,1.9100412584214312,2.1401776042970773
119,0,Moderate,0.5917,1.7576598934281127,1.6273084711061956
120,0,Moderate,0.6171,2.063229170502645,2.393857902998783
121,0,Moderate,0.6154,2.1938042993642144,2.124642522084701
122,0,Moderate,0.6007,2.1439191043704606,1.963990854011626
123,0,Moderate,0.6175,2.335350257359701,2.156829220685889
124,0,Moderate,0.605,2.7241413326693595,2.1630938844996237
125,0,Moderate,0.6106,2.7806205875725545,2.3272775052917005
126,0,Moderate,0.5946,2.250126284745429,1.9871103641495365
127,0,Moderate,0.5844,2.118150005786572,2.0081708651871315
128,0,Moderate,0.6043,1.7430444630963595,2.426485081651554
129,0,Moderate,0.5976,1.6640470706716988,2.0908249157481302
130,0,Moderate,0.57,2.1948596922558368,1.4871311284332225
131,0,Moderate,0.5373,2.210923386880116,1.044728651915334
132,0,Moderate,0.5552,1.8392002013712314,1.3024048109945356
133,0,Moderate,0.5606,1.750881840512939,1.4525605251965297
134,0,Moderate,0.5701,2.23227808289046,1.3651183667145552
135,0,Moderate,0.5744,2.5690943609195633,1.6531129610551742
136,0,Moderate,0.6045,2.5451679862729915,2.046196054233321
137,0,Moderate,0.5914,2.4643416196498085,2.076404315028504
138,0,Moderate,0.5894,3.0186506549284147,2.068229742763738
139,0,Moderate,0.5891,2.6002808392498618,1.8153500526760502
140,0,Moderate,0.5596,1.8722007984800204,1.3211108177634638
141,0,Moderate,0.5529,1.3461317423517902,1.298158149878932
142,0,Moderate,0.5658,1.2604429219911213,1.2579748815574343
143,0,Moderate,0.5411,1.7481292657539869,1.1337460483413784
144,0,Moderate,0.5206,2.664255442809301,0.4213838470487679
